,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pontianak,-0.03,109.33,89.15,57,82,4.0,ID,1592624336
1,Usagara,-2.68,33.0,66.2,93,75,7.2,TZ,1592624337
2,Thunder Bay,48.4,-89.32,66.0,63,75,9.17,CA,1592624137
3,Tuatapere,-46.13,167.68,48.58,82,45,3.15,NZ,1592624311
4,Ilulissat,69.22,-51.1,41.0,75,0,8.05,GL,1592623994
5,Pevek,69.7,170.31,45.27,65,21,10.6,RU,1592624157
6,Ushuaia,-54.8,-68.3,37.4,86,75,5.82,AR,1592623976
7,Qaanaaq,77.48,-69.36,34.07,84,100,2.82,GL,1592623981
8,Kumul,42.8,93.45,75.4,40,100,15.55,CN,1592624345
9,Kungurtug,50.6,97.52,69.58,35,100,1.81,RU,1592624346
10,Saint-Philippe,-21.36,55.77,69.8,68,75,14.99,RE,1592624027
11,Mar del Plata,-38.0,-57.56,55.99,66,1,6.93,AR,1592624017
12,Port Elizabeth,-33.92,25.57,62.6,36,21,8.05,ZA,1592624076
13,Itarema,-2.92,-39.92,74.98,91,0,10.0,BR,1592624163
14,Hithadhoo,-0.6,73.08,82.2,79,100,14.94,MV,1592624253
15,Rikitea,-23.12,-134.97,75.29,82,100,19.51,PF,1592624353
16,Esperance,-33.87,121.9,57.2,62,90,8.05,AU,1592624217
17,Kaitangata,-46.28,169.85,46.99,82,69,5.99,NZ,1592624177
18,Mataura,-46.19,168.86,45.57,84,78,1.83,NZ,1592624008
19,Kapaa,22.08,-159.32,80.6,69,40,18.34,US,1592624097
20,Hermanus,-34.42,19.23,57.0,96,42,1.01,ZA,1592624022
21,Avarua,-21.21,-159.78,73.4,60,67,8.05,CK,1592624058
22,Fort Nelson,58.81,-122.7,80.6,39,75,2.24,CA,1592624361
23,Yellowknife,62.46,-114.35,79.0,27,20,12.75,CA,1592623888
24,Busselton,-33.65,115.33,60.01,49,0,10.47,AU,1592624030
25,Hilo,19.73,-155.09,80.6,61,90,5.82,US,1592623958
